PwnCount,BreachDateDayOfMonth,BreachDateMonth,BreachDateYear,IsVerified,IsSensitive,IsRetired,IsSpamList,IsMalware,Industry,bin,country_id
780073,9,1,2017,1,0,0,0,0,4,1,0
777769,26,1,2020,1,0,0,0,0,1,1,24
777649,7,5,2018,1,0,0,0,0,1,1,0
777387,23,6,2014,1,0,0,0,0,0,1,0
776648,1,6,2016,1,0,0,0,0,5,1,0
776125,1,11,2015,1,0,0,0,0,2,1,8
768890,23,6,2020,1,0,0,0,0,1,1,0
764357,28,4,2018,1,0,0,0,0,2,1,0
762874,7,9,2017,1,0,0,0,0,1,1,54
760561,30,1,2017,1,0,0,0,0,4,1,0
756737,8,1,2023,1,0,0,0,0,1,1,20
751700,30,12,2019,1,0,0,0,0,4,1,0
749161,21,7,2019,1,0,0,0,0,6,1,0
746682,22,11,2021,1,0,0,0,0,1,1,0
745355,30,10,2011,1,0,0,0,0,2,1,36
738556,11,7,2015,1,0,0,0,0,6,1,0
735405,27,7,2017,1,0,0,0,0,0,1,0
709926,1,7,2014,1,0,0,0,0,2,1,0
707432,1,12,2015,1,0,0,0,0,2,1,0
699793,14,5,2015,1,0,0,0,0,1,1,0
686899,8,7,2019,1,0,0,0,0,1,1,0
669584,1,7,2016,1,0,0,0,0,2,1,0
660305,1,7,2016,1,0,0,0,0,6,1,8
657001,28,7,2015,1,0,0,0,0,2,1,0
655161,7,6,2018,1,0,0,0,0,0,1,2
652683,11,9,2014,1,0,0,0,0,4,1,17
648231,13,6,2014,1,0,0,0,0,0,1,0
645786,1,1,2020,1,0,0,0,0,0,1,0
637340,16,5,2017,1,0,0,0,0,2,1,0
637279,17,12,2020,1,0,0,0,0,1,1,0
620677,18,9,2015,1,0,0,0,0,0,1,0
616882,8,11,2015,1,0,0,0,0,0,1,0
616146,11,5,2017,1,0,0,0,0,1,1,0
612414,1,1,2014,1,0,0,0,0,2,1,0
611070,19,6,2016,1,0,0,0,0,0,1,0
606637,17,6,2018,1,0,0,0,0,2,1,0
599802,22,2,2017,1,0,0,0,0,2,1,37
599667,21,2,2020,1,0,0,0,0,4,1,0
599080,6,5,2016,1,0,0,0,0,6,1,0
590954,25,10,2010,1,0,0,0,0,1,1,17
583503,1,1,2017,1,0,0,0,0,1,1,0
583377,28,10,2019,1,0,0,0,0,1,1,12
582578,22,4,2016,1,0,0,0,0,1,1,0
575437,7,12,2018,1,0,0,0,0,5,1,0
568827,1,1,2016,1,0,0,0,0,4,1,0
568340,1,10,2014,1,0,0,0,0,0,1,0
564962,1,11,2019,1,0,0,0,0,5,1,0
561991,1,7,2019,1,0,0,0,0,2,1,0
547422,24,12,2020,1,0,0,0,0,1,1,0
542902,12,2,2018,1,1,0,0,0,1,1,32
535240,8,10,2020,1,0,0,0,0,1,1,0
533886,4,7,2022,1,0,0,0,0,1,1,0
530270,26,6,2011,1,0,0,0,0,0,1,0
530147,11,8,2016,1,0,0,0,0,6,1,0
518966,3,11,2015,1,0,0,0,0,2,1,0
512311,28,11,2017,1,0,0,0,0,1,1,0
505466,26,6,2021,1,0,0,0,0,5,1,0
504565,1,5,2015,1,0,0,0,0,6,1,0
503501,1,9,2014,1,0,0,0,0,2,1,15
501407,22,5,2015,1,0,0,0,0,2,1,0
499836,7,12,2017,1,0,0,0,0,1,1,0
498297,28,1,2021,1,0,0,0,0,2,1,0
494945,28,2,2020,1,0,0,0,0,2,1,0
492518,19,8,2016,1,0,0,0,0,4,1,0
483015,1,5,2018,1,0,0,0,0,6,1,0
478824,3,8,2017,1,0,0,0,0,2,1,13
471376,23,11,2021,1,0,0,0,0,1,1,0
471167,15,7,2019,1,0,0,0,0,1,1,0
465141,8,3,2021,1,0,0,0,0,1,1,0
464260,1,1,2018,1,0,0,0,0,1,1,0
458155,25,9,2015,1,0,0,0,0,6,1,0
453427,11,7,2012,1,0,0,0,0,0,1,0
452899,1,5,2015,1,0,0,0,0,6,1,0
447410,1,7,2015,1,0,0,0,0,6,1,0
444767,1,7,2015,1,0,0,0,0,6,1,0
444453,26,6,2020,1,0,0,0,0,1,1,0
444241,26,12,2019,1,0,0,0,0,1,1,0
444224,5,10,2020,1,0,0,0,0,1,1,8
442166,22,12,2014,1,0,0,0,0,0,1,0
441657,5,12,2021,1,0,0,0,1,0,1,0
437928,31,10,2013,1,0,0,0,0,2,1,0
435510,7,5,2015,1,0,0,0,0,2,1,0
432943,25,11,2014,1,0,0,0,0,2,1,0
432552,1,2,2015,1,0,0,0,0,6,1,0
428779,25,4,2017,1,0,0,0,0,6,1,0
422959,26,5,2014,1,0,0,0,0,6,1,0
420873,1,1,2019,1,0,0,0,0,1,1,0
411755,24,8,2018,1,1,0,0,0,2,1,0
408795,2,1,2016,1,0,0,0,0,4,1,0
400260,15,12,2016,1,0,0,0,0,0,1,8
398011,13,5,2018,1,0,0,0,0,4,1,0
396650,5,6,2017,0,0,0,0,0,1,1,0
396533,17,5,2019,1,0,0,0,0,4,1,0
395044,14,1,2016,1,0,0,0,0,6,1,8
386489,10,9,2017,1,0,0,0,0,2,1,0
380830,31,1,2017,1,1,0,0,0,0,1,0
377377,28,11,2016,1,1,0,0,0,2,1,0
375928,12,1,2021,1,1,0,0,0,1,1,0
370794,5,1,2022,1,1,0,0,0,1,1,0
368507,1,1,2016,1,0,0,0,0,4,1,0
367476,2,8,2022,1,0,0,0,0,1,1,0
366140,5,12,2016,1,0,0,0,0,6,1,26
362426,2,11,2021,1,0,0,0,0,4,1,0
358822,16,12,2020,1,0,0,0,0,1,1,0
352120,12,12,2013,1,0,0,0,0,6,1,0
349627,14,8,2022,1,0,0,0,0,5,1,0
348302,11,4,2021,1,0,0,0,0,6,1,0
342913,3,6,2016,1,0,0,0,0,2,1,0
341118,1,2,2015,1,0,0,0,0,6,1,42
339487,11,6,2012,1,0,0,0,0,0,1,0
327314,2,7,2015,1,0,0,0,0,6,1,1
326714,3,7,2016,1,0,0,0,0,6,1,0
321920,25,3,2017,1,0,0,0,0,1,1,0
314290,28,10,2021,1,0,0,0,0,1,1,0
307768,6,9,2016,1,0,0,0,0,1,1,14
305470,28,4,2019,1,0,0,0,0,4,1,0
303877,28,12,2021,1,1,0,0,0,6,1,14
297806,7,11,2015,1,0,0,0,0,0,1,29
297744,18,3,2021,1,1,0,0,0,6,1,0
290955,10,10,2019,1,1,0,0,0,6,1,45
287071,21,10,2015,1,1,0,0,0,1,1,12
285191,21,6,2014,1,0,0,0,0,2,1,0
281924,12,7,2015,1,0,0,0,0,2,1,0
275785,1,5,2018,1,0,0,0,0,6,1,0
269552,29,8,2020,1,0,0,0,0,1,1,0
269548,15,11,2015,1,0,0,0,0,2,1,0
266399,13,12,2018,1,0,0,0,0,5,1,0
265410,30,11,2018,1,0,0,0,0,5,1,0
263829,12,12,2020,1,0,0,0,0,1,1,0
263189,2,4,2020,1,0,0,0,0,6,1,0
261463,25,8,2018,1,0,0,0,0,1,1,0
254867,1,4,2015,1,0,0,0,0,0,1,0
252751,6,7,2015,1,0,0,0,0,0,1,0
252216,4,4,2008,1,0,0,0,0,0,1,0
251661,11,8,2016,1,0,0,0,0,6,1,26
242715,21,10,2018,1,0,0,0,0,1,1,0
240488,14,1,2023,1,0,0,0,0,1,1,7
238373,13,11,2014,1,0,0,0,0,6,1,0
236105,25,5,2020,1,0,0,0,0,1,1,19
235233,17,7,2020,1,0,0,0,0,2,1,0
228605,27,3,2016,1,0,0,0,0,0,1,0
